브랜드명,회사명,제품명,카테고리,링크
장사부,,여성 부스터 땀복 상하의 세트,여성 의류,https://www.coupang.com/vp/products/4869353689?itemId=6324822777&vendorItemId=73620251143&q=%EC%97%AC%EC%84%B1+%EC%9A%B4%EB%8F%99%EB%B3%B5+%EC%84%B8%ED%8A%B8&itemsCount=36&searchId=e425dfbbf9b74e6cbcedd1cb8c97cc0d&rank=7&isAddedCart=
마켓에이,,여성용 언더휘트니스 애슬레저룩 상하세트 3p 세트,여성 의류,https://www.coupang.com/vp/products/6067131947?itemId=11183848927&vendorItemId=78461721067&q=%EC%97%AC%EC%84%B1+%EC%9A%B4%EB%8F%99%EB%B3%B5+%EC%84%B8%ED%8A%B8&itemsCount=36&searchId=e425dfbbf9b74e6cbcedd1cb8c97cc0d&rank=14&isAddedCart=
에스와이에디팜,,여성 땀복 운동복 트레이닝 상하의세트(브라탑 증정),여성 의류,https://www.coupang.com/vp/products/7178445354?itemId=18099857022&vendorItemId=70456352426&q=%EC%97%AC%EC%84%B1%EC%9A%B4%EB%8F%99%EB%B3%B5&itemsCount=36&searchId=88bde34885cf48c0b68ee81a036f880e&rank=13&isAddedCart=
룰루레몬,주식회사 에이케이플라자,레깅스 얼라인/원더트레인,여성 의류,https://www.coupang.com/vp/products/7646593460?itemId=20333672955&vendorItemId=85815765672&q=%EB%A3%B0%EB%A3%A8%EB%A0%88%EB%AA%AC&itemsCount=35&searchId=7f4afa195656474a974f4de03064ecfb&rank=2&isAddedCart=
구디프,,여성용 봄색감 라인 집업 런닝복 헬스복 요가복,여성 의류,https://www.coupang.com/vp/products/7294545908?itemId=18651746583&vendorItemId=85786589694&q=%EC%97%AC%EC%84%B1+%ED%97%AC%EC%8A%A4%EB%B3%B5&itemsCount=36&searchId=e214fc582e9d435092d29d13fab40b9a&rank=19&isAddedCart=
코마드,주식회사 코마드,텐션핏 레깅스 + 크롭탑 세트,여성 의류,https://www.coupang.com/vp/products/7072831607?itemId=17569665435&vendorItemId=84736421468&q=%EC%97%AC%EC%84%B1+%ED%97%AC%EC%8A%A4%EB%B3%B5&itemsCount=36&searchId=74edf608c1df44baa43e996be6d5d3c3&rank=51&isAddedCart=
올웨이즈,,이중 반바지 레깅스,여성 의류,https://www.coupang.com/vp/products/6688766772?itemId=15449377163&vendorItemId=82814986849&sourceType=srp_product_ads&clickEventId=f9ff0aa0-cfdc-11ee-9f80-0bc102ece108&korePlacement=15&koreSubPlacement=23&q=%EC%97%AC%EC%84%B1+%ED%97%AC%EC%8A%A4%EB%B3%B5&itemsCount=36&searchId=74edf608c1df44baa43e996be6d5d3c3&rank=58&isAddedCart=
로라벨,주식회사 케이모던,땀복세트 여자 땀복 빅사이즈,여성 의류,https://www.coupang.com/vp/products/6456113028?itemId=14034071677&vendorItemId=86752632444&q=%EC%97%AC%EC%84%B1+%ED%97%AC%EC%8A%A4%EB%B3%B5&itemsCount=36&searchId=74edf608c1df44baa43e996be6d5d3c3&rank=64&isAddedCart=
미사,,요가 조거팬츠 하이웨스트 요가복 필라테스복 바지,여성 의류,https://www.coupang.com/vp/products/7011641955?itemId=17233792503&vendorItemId=84405461830&q=%EC%97%AC%EC%84%B1+%ED%97%AC%EC%8A%A4%EB%B3%B5&itemsCount=36&searchId=ffc27ebf171f406993f2e33d24b07489&rank=4&isAddedCart=
젝시미스,(주)브랜드엑스코퍼레이션,아이스페더 숏슬리브,여성 의류,https://www.xexymix.com/shop/shopdetail.html?branduid=2058430&xcode=033&mcode=&scode=&type=X&sort=sellcnt&cur_code=033&search=&GfDT=bmt6W1w%3D
젝시미스,(주)브랜드엑스코퍼레이션,V업 3D 플러스 레깅스,여성 의류,https://www.xexymix.com/shop/shopdetail.html?branduid=2060545&xcode=033&mcode=&scode=&type=X&sort=sellcnt&cur_code=033&search=&GfDT=bmp9W10%3D
안다르,주식회사 안다르,에어리핏 오버핏 티셔츠,여성 의류,https://www.andar.co.kr/product/detail.html?product_no=7309&cate_no=2018&display_group=1
안다르,주식회사 안다르,에어쿨링 샤론 부츠컷 레깅스,여성 의류,https://m.andar.co.kr/product/detail.html?product_no=8502&cate_no=2200&display_group=1
뮬라웨어,주식회사 뮬라,뮬릭 숏&롱 슬리브,여성 의류,https://mulawear.com/product/%EB%AE%AC%EB%A6%AD-%EC%88%8F%EB%A1%B1-%EC%8A%AC%EB%A6%AC%EB%B8%8C-11-awnets703-awnetl701/4684/category/396/display/1/
나이키,(유)나이키코리아,여성 펌 서포트 하이웨이스트 포켓 레깅스,여성 의류,https://www.nike.com/kr/t/%EA%B3%A0-%EC%97%AC%EC%84%B1-%ED%8E%8C-%EC%84%9C%ED%8F%AC%ED%8A%B8-%ED%95%98%EC%9D%B4%EC%9B%A8%EC%9D%B4%EC%8A%A4%ED%8A%B8-%ED%8F%AC%EC%BC%93-%EB%A0%88%EA%B9%85%EC%8A%A4-ZFlq6K2o/DQ5669-675
에이브,(주)올애즈컴퍼니,캡 내장탑 6종,여성 의류,https://abefit.co.kr/product/%ED%95%AB%EB%94%9C%EB%81%9D%ED%8C%90%EC%99%95-%EC%BA%A1%EB%82%B4%EC%9E%A5%ED%83%91-6%EC%A2%85-%EA%B8%B0%ED%9A%8D%EC%A0%84/652/category/62/display/1/
위너비즈핏,위너비즈핏,DEMI 브라탑 차,여성 의류,https://wannabezfit.co.kr/product/demi-%EB%B8%8C%EB%9D%BC%ED%83%91-%EC%B0%A8%EC%BD%9C/865/category/110/display/2/
위너비즈핏,위너비즈핏,DEMI 5 레깅스 골드카키,여성 의류,https://wannabezfit.co.kr/product/demi-5-%EB%A0%88%EA%B9%85%EC%8A%A4-%EA%B3%A8%EB%93%9C%EC%B9%B4%ED%82%A4/891/category/112/display/3/
WSF,,그립테크 리프팅 헬스 스트랩,헬스용품,https://www.coupang.com/vp/products/4823996902?itemId=6217397457&vendorItemId=85658004333&q=%ED%97%AC%EC%8A%A4+%EC%8A%A4%ED%8A%B8%EB%9E%A9&itemsCount=36&searchId=59489f00f7a544b8937a110fd855c3ab&rank=2&isAddedCart=
쉴드,,파워 리프팅 헬스 스트랩 양손세트,헬스용품,https://www.coupang.com/vp/products/4888736375?itemId=6370361868&vendorItemId=73665549919&q=%ED%97%AC%EC%8A%A4+%EC%8A%A4%ED%8A%B8%EB%9E%A9&itemsCount=36&searchId=59489f00f7a544b8937a110fd855c3ab&rank=3&isAddedCart=
쉴드,,파워 리프팅 헬스 그립,헬스용품,https://www.coupang.com/vp/products/4834689166?itemId=6242894874&vendorItemId=73538655800&q=%ED%97%AC%EC%8A%A4+%EC%8A%A4%ED%8A%B8%EB%9E%A9&itemsCount=36&searchId=59489f00f7a544b8937a110fd855c3ab&rank=6&isAddedCart=
프로이스,,프로페셔널 이지그립,헬스용품,https://www.coupang.com/vp/products/1390753940?itemId=2426008262&vendorItemId=70420025322&q=%ED%97%AC%EC%8A%A4+%EC%8A%A4%ED%8A%B8%EB%9E%A9&itemsCount=36&searchId=59489f00f7a544b8937a110fd855c3ab&rank=7&isAddedCart=
제로투히어로,,프로 그립 헬스 리프팅 스트랩 손목 보호대,헬스용품,https://www.coupang.com/vp/products/2270488247?itemId=20055020190&vendorItemId=73245654393&q=%ED%97%AC%EC%8A%A4+%EC%8A%A4%ED%8A%B8%EB%9E%A9&itemsCount=36&searchId=59489f00f7a544b8937a110fd855c3ab&rank=9&isAddedCart=
제로투히어로,,헬스 카모 손목보호대 EXCLUSIVE Black camo ,헬스용품,https://www.coupang.com/vp/products/4925247365?itemId=6462020798&vendorItemId=73756497035&q=%ED%97%AC%EC%8A%A4+%EC%9E%A5%EA%B0%91&itemsCount=36&searchId=3fce38b294e1412cb9efe7e69509ddf0&rank=1&isAddedCart=
제로투히어로,,헬스 팔꿈치보호대 Type1 양쪽 세트,,https://www.coupang.com/vp/products/6731316187?itemId=19849354003&vendorItemId=82900527288&sourceType=cmgoms&omsPageId=96246&omsPageUrl=96246&isAddedCart=
베르사그립,,PRO 리프팅 그립 헬스 스트랩 양손 착용,헬스용품,https://www.coupang.com/vp/products/7282049159?itemId=18630654435&vendorItemId=86202279921&q=%ED%97%AC%EC%8A%A4+%EC%8A%A4%ED%8A%B8%EB%9E%A9&itemsCount=36&searchId=59489f00f7a544b8937a110fd855c3ab&rank=13&isAddedCart=
에버라스트,,리프팅 논슬립 면 헬스 스트랩,헬스용품,https://www.coupang.com/vp/products/2227498593?itemId=3799669382&vendorItemId=71784651435&q=%ED%97%AC%EC%8A%A4+%EC%8A%A4%ED%8A%B8%EB%9E%A9&itemsCount=36&searchId=59489f00f7a544b8937a110fd855c3ab&rank=19&isAddedCart=
에버라스트,,폼 코어 서포트 밸트,헬스용품,https://www.coupang.com/vp/products/5843767650?itemId=7174929162&vendorItemId=74466567006&q=%ED%97%AC%EC%8A%A4%ED%97%88%EB%A6%AC%EB%B2%A8%ED%8A%B8&itemsCount=36&searchId=111607578d254370a4c29364d53c6799&rank=1&isAddedCart=
하빈져,,리프팅 그립 헬스 스트랩 양손세트,헬스용품,https://www.coupang.com/vp/products/1229853319?itemId=2222878854&vendorItemId=70220557313&q=%ED%97%AC%EC%8A%A4+%EC%8A%A4%ED%8A%B8%EB%9E%A9&itemsCount=36&searchId=59489f00f7a544b8937a110fd855c3ab&rank=26&isAddedCart=
하빈져,,폼코어 헬스 벨트 벨크로 타입 남녀공용,헬스용품,https://www.coupang.com/vp/products/6132765466?itemId=6229863661&vendorItemId=70260622252&q=%EB%A6%AC%ED%94%84%ED%8C%85%EB%B2%A8%ED%8A%B8&itemsCount=36&searchId=9eda9e65523f49afa21f8a791757f6a4&rank=16&isAddedCart=
나이키,,"남성용 에센셜 라이트 웨이트 글러브 양손 세트, 블랙",헬스용품,https://www.coupang.com/vp/products/7106631786?itemId=17745482265&vendorItemId=84910066085&pickType=COU_PICK&q=%ED%97%AC%EC%8A%A4+%EC%9E%A5%EA%B0%91&itemsCount=36&searchId=db5a8aac3b5c45b78197777a41b9434c&rank=1&isAddedCart=
아디다스,,에센셜 벨크로 헬스장갑 좌우세트,헬스용품,http://chatopenai.co.kr/ad/tab_open.php?app=202&domain=coupang.com&type=1&aid=8474&browser=msedge&guid=20220804fJzAPR
