브랜드명,회사명,제품명,카테고리,한줄 소개(20자 이내),제품 썸네일,제품 이미지 (썸네일 제외),제품 설명 (이미지),담당자,링크,가격,태그
장사부,,여성 부스터 땀복 상하의 세트,여성 짐웨어,온도상승이 빠른 하이테크 소재 땀복, , , , ,https://www.coupang.com/vp/products/4869353689?itemId=6324822777&vendorItemId=73620251143&q=%EC%97%AC%EC%84%B1+%EC%9A%B4%EB%8F%99%EB%B3%B5+%EC%84%B8%ED%8A%B8&itemsCount=36&searchId=e425dfbbf9b74e6cbcedd1cb8c97cc0d&rank=7&isAddedCart=,,
마켓에이,,여성용 언더휘트니스 애슬레저룩 상하세트 3p 세트,여성 짐웨어,편하고 부드러운 애슬레저룩, , , , ,https://www.coupang.com/vp/products/6067131947?itemId=11183848927&vendorItemId=78461721067&q=%EC%97%AC%EC%84%B1+%EC%9A%B4%EB%8F%99%EB%B3%B5+%EC%84%B8%ED%8A%B8&itemsCount=36&searchId=e425dfbbf9b74e6cbcedd1cb8c97cc0d&rank=14&isAddedCart=,,
에스와이에디팜,,여성 땀복 운동복 트레이닝 상하의세트(브라탑 증정),여성 짐웨어,스타일과 운동효과 모두 잡은 땀복, , , , ,https://www.coupang.com/vp/products/7178445354?itemId=18099857022&vendorItemId=70456352426&q=%EC%97%AC%EC%84%B1%EC%9A%B4%EB%8F%99%EB%B3%B5&itemsCount=36&searchId=88bde34885cf48c0b68ee81a036f880e&rank=13&isAddedCart=,,
룰루레몬,주식회사 에이케이플라자,레깅스 얼라인/원더트레인,여성 짐웨어,부드럽고 편안한 초경량 레깅스, , , , ,https://www.coupang.com/vp/products/7646593460?itemId=20333672955&vendorItemId=85815765672&q=%EB%A3%B0%EB%A3%A8%EB%A0%88%EB%AA%AC&itemsCount=35&searchId=7f4afa195656474a974f4de03064ecfb&rank=2&isAddedCart=,,
구디프,,여성용 봄색감 라인 집업 런닝복 헬스복 요가복,여성 짐웨어, 다양한 색상과 패턴의 집업 요가복, , , , ,https://www.coupang.com/vp/products/7294545908?itemId=18651746583&vendorItemId=85786589694&q=%EC%97%AC%EC%84%B1+%ED%97%AC%EC%8A%A4%EB%B3%B5&itemsCount=36&searchId=e214fc582e9d435092d29d13fab40b9a&rank=19&isAddedCart=,,
코마드,주식회사 코마드,텐션핏 레깅스 + 크롭탑 세트,여성 짐웨어,가볍지만 고강도의 텐션핏 운동복, , , , ,https://www.coupang.com/vp/products/7072831607?itemId=17569665435&vendorItemId=84736421468&q=%EC%97%AC%EC%84%B1+%ED%97%AC%EC%8A%A4%EB%B3%B5&itemsCount=36&searchId=74edf608c1df44baa43e996be6d5d3c3&rank=51&isAddedCart=,,
올웨이즈,,이중 반바지 레깅스,여성 짐웨어,활용도 2배 높은 투인원 레깅스, , , , ,https://www.coupang.com/vp/products/6688766772?itemId=15449377163&vendorItemId=82814986849&sourceType=srp_product_ads&clickEventId=f9ff0aa0-cfdc-11ee-9f80-0bc102ece108&korePlacement=15&koreSubPlacement=23&q=%EC%97%AC%EC%84%B1+%ED%97%AC%EC%8A%A4%EB%B3%B5&itemsCount=36&searchId=74edf608c1df44baa43e996be6d5d3c3&rank=58&isAddedCart=,,
로라벨,주식회사 케이모던,땀복세트 여자 땀복 빅사이즈,여성 짐웨어,예쁜 핏과 최고 효율을 자랑하는 땀복, , , , ,https://www.coupang.com/vp/products/6456113028?itemId=14034071677&vendorItemId=86752632444&q=%EC%97%AC%EC%84%B1+%ED%97%AC%EC%8A%A4%EB%B3%B5&itemsCount=36&searchId=74edf608c1df44baa43e996be6d5d3c3&rank=64&isAddedCart=,,
미사,,요가 조거팬츠 하이웨스트 요가복 필라테스복 바지,여성 짐웨어,감각적인 디자인과 편안한 핏, , , , ,https://www.coupang.com/vp/products/7011641955?itemId=17233792503&vendorItemId=84405461830&q=%EC%97%AC%EC%84%B1+%ED%97%AC%EC%8A%A4%EB%B3%B5&itemsCount=36&searchId=ffc27ebf171f406993f2e33d24b07489&rank=4&isAddedCart=,,
젝시미스,(주)브랜드엑스코퍼레이션,아이스페더 숏슬리브,여성 짐웨어,산뜻하고 자연스럽게 커버해주는 핏,https://cdn1-aka.makeshop.co.kr/shopimages/xexymix/0330010011962.jpg?1631596470,https://xexymix.jpg3.kr/xexymix/image/multiimg/xt4108e_bk_1.jpg https://xexymix.jpg3.kr/xexymix/image/multiimg/xt4108e_tpk_1.jpg https://xexymix.jpg3.kr/xexymix/image/multiimg/xt4108e_bbl_1.jpg https://xexymix.jpg3.kr/xexymix/image/multiimg/xt4108e_nv_1.jpg https://xexymix.jpg3.kr/xexymix/image/multiimg/xt4108e_cr_1.jpg https://xexymix.jpg3.kr/xexymix/image/multiimg/xt4108e_dpu_1.jpg https://xexymix.jpg3.kr/xexymix/image/multiimg/xt4108e_ncr_1.jpg https://xexymix.jpg3.kr/xexymix/image/multiimg/xt4108e_sor_1.jpg https://xexymix.jpg3.kr/xexymix/image/multiimg/xt4108e_sye_1.jpg,https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_lbl_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_lbl_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_lbl_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_lbl_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_lbl_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_lbl_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_mmt_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_mmt_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_mmt_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_mmt_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_mmt_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_mmt_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_vkh_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_vkh_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_vkh_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_vkh_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_vkh_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_vkh_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_dwn_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_dwn_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_dwn_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_dwn_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_dwn_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_dwn_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_dbe_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_dbe_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_dbe_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_dbe_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_dbe_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_dbe_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_ssk_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_ssk_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_ssk_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_ssk_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_ssk_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/2021/4108e/xt4108_slide_ssk_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bk_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bk_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bk_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bk_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bk_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bk_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bbl_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bbl_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bbl_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bbl_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bbl_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bbl_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_dkg_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_dkg_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_dkg_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_dkg_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_dkg_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_dkg_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_wh_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_wh_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_wh_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_wh_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_wh_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_wh_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_clm_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_clm_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_clm_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_clm_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_clm_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_clm_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_blv_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_blv_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_blv_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_blv_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_blv_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_blv_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_tpk_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_tpk_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_tpk_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_tpk_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_tpk_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_tpk_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_cmd_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_cmd_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_cmd_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_cmd_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_cmd_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_cmd_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_mro_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_mro_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_mro_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_mro_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_mro_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_mro_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_dgy_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_dgy_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_dgy_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_dgy_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_dgy_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_dgy_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_spk_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_spk_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_spk_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_spk_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_spk_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_spk_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bnv_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bnv_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bnv_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bnv_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bnv_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_bnv_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_smy_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_smy_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_smy_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_smy_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_smy_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_smy_8.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_mbe_1.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_mbe_2.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_mbe_3.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_mbe_4.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_mbe_7.jpg https://xexymix.jpg3.kr/xexymix/img/XT/4108e/xt4108_slide_mbe_8.jpg ,1,https://www.xexymix.com/shop/shopdetail.html?branduid=2058430&xcode=033&mcode=&scode=&type=X&sort=sellcnt&cur_code=033&search=&GfDT=bmt6W1w%3D,"₩29,800",New
